,path,link_pairs,x_positions,y_positions,is_on_top,origin,goal,game_pair,coordinates
17,14th_century;English_peasants%27_revolt_of_1381;Archbishop_of_Canterbury;19th_century;The_Origin_of_Species;Biology;Science;Physics;Speed_of_light;Rainbow,"[('14th_century', 'English_peasants%27_revolt_of_1381'), ('English_peasants%27_revolt_of_1381', 'Archbishop_of_Canterbury'), ('Archbishop_of_Canterbury', '19th_century'), ('19th_century', 'The_Origin_of_Species'), ('The_Origin_of_Species', 'Biology'), ('Biology', 'Science'), ('Science', 'Physics'), ('Physics', 'Speed_of_light'), ('Speed_of_light', 'Rainbow')]","[38, 1092, 853, 73, 416, 362, 1467, 810, 1499]","[458, 591, 1254, 1610, 94, 75, 1153, 669, 2285]","[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]",14th_century,Rainbow,14th_century->Rainbow,"[(38, 458), (1092, 591), (853, 1254), (73, 1610), (416, 94), (362, 75), (1467, 1153), (810, 669), (1499, 2285)]"
18,14th_century;India;Rice;Rain;Acid_rain;Cloud;Color;Rainbow,"[('14th_century', 'India'), ('India', 'Rice'), ('Rice', 'Rain'), ('Rain', 'Acid_rain'), ('Acid_rain', 'Cloud'), ('Cloud', 'Color'), ('Color', 'Rainbow')]","[1573, 868, 368, 906, 707, 44, 162]","[385, 3155, 176, 389, 94, 1974, 424]","[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(1573, 385), (868, 3155), (368, 176), (906, 389), (707, 94), (44, 1974), (162, 424)]"
19,14th_century;Time;Physics;<;Day;Sun;Sunlight;Ultraviolet;<;Earth%27s_atmosphere;<;Ultraviolet;Color;Rainbow,"[('14th_century', 'Time'), ('Time', 'Physics'), ('Physics', '<'), ('<', 'Day'), ('Day', 'Sun'), ('Sun', 'Sunlight'), ('Sunlight', 'Ultraviolet'), ('Ultraviolet', '<'), ('<', 'Earth%27s_atmosphere'), ('Earth%27s_atmosphere', '<'), ('<', 'Ultraviolet'), ('Ultraviolet', 'Color'), ('Color', 'Rainbow')]","[247, 66, None, None, 297, 218, 430, None, None, None, None, 456, 162]","[94, 2458, None, None, 476, 94, 845, None, None, None, None, 154, 424]","[1.0, 0.0, None, None, 1.0, 1.0, 1.0, None, None, None, None, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (66, 2458), (None, None), (None, None), (297, 476), (218, 94), (430, 845), (None, None), (None, None), (None, None), (None, None), (456, 154), (162, 424)]"
20,14th_century;France;World_War_II;Nuclear_weapon;Neutron;Physics;Speed_of_light;Rainbow,"[('14th_century', 'France'), ('France', 'World_War_II'), ('World_War_II', 'Nuclear_weapon'), ('Nuclear_weapon', 'Neutron'), ('Neutron', 'Physics'), ('Physics', 'Speed_of_light'), ('Speed_of_light', 'Rainbow')]","[403, 60, 1448, 580, 33, 810, 1499]","[195, 1265, 548, 804, 80, 669, 2285]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]",14th_century,Rainbow,14th_century->Rainbow,"[(403, 195), (60, 1265), (1448, 548), (580, 804), (33, 80), (810, 669), (1499, 2285)]"
21,14th_century;Christianity;Religion;Astrology;Isaac_Newton;Color;Rainbow,"[('14th_century', 'Christianity'), ('Christianity', 'Religion'), ('Religion', 'Astrology'), ('Astrology', 'Isaac_Newton'), ('Isaac_Newton', 'Color'), ('Color', 'Rainbow')]","[636, 191, 345, 563, 1149, 162]","[378, 75, 4005, 344, 157, 424]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(636, 378), (191, 75), (345, 4005), (563, 344), (1149, 157), (162, 424)]"
22,14th_century;Time;Light;Rainbow,"[('14th_century', 'Time'), ('Time', 'Light'), ('Light', 'Rainbow')]","[247, 1067, 754]","[94, 2924, 773]","[1.0, 0.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (1067, 2924), (754, 773)]"
23,14th_century;Time;Light;Rainbow,"[('14th_century', 'Time'), ('Time', 'Light'), ('Light', 'Rainbow')]","[247, 1067, 754]","[94, 2924, 773]","[1.0, 0.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (1067, 2924), (754, 773)]"
24,14th_century;Renaissance;Art;Color;Rainbow,"[('14th_century', 'Renaissance'), ('Renaissance', 'Art'), ('Art', 'Color'), ('Color', 'Rainbow')]","[1117, 1371, 1120, 162]","[539, 217, 4243, 424]","[1.0, 1.0, 0.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(1117, 539), (1371, 217), (1120, 4243), (162, 424)]"
25,14th_century;Singapore;Fishing;Ice;Climate;Weather;Sunlight;Ultraviolet;Color;Rainbow,"[('14th_century', 'Singapore'), ('Singapore', 'Fishing'), ('Fishing', 'Ice'), ('Ice', 'Climate'), ('Climate', 'Weather'), ('Weather', 'Sunlight'), ('Sunlight', 'Ultraviolet'), ('Ultraviolet', 'Color'), ('Color', 'Rainbow')]","[38, 647, 112, 1083, 490, 356, 430, 456, 162]","[417, 119, 4353, 139, 75, 281, 845, 154, 424]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(38, 417), (647, 119), (112, 4353), (1083, 139), (490, 75), (356, 281), (430, 845), (456, 154), (162, 424)]"
26,14th_century;Time;Isaac_Newton;Rainbow,"[('14th_century', 'Time'), ('Time', 'Isaac_Newton'), ('Isaac_Newton', 'Rainbow')]","[247, 1157, 760]","[94, 76, 1327]","[1.0, 1.0, 0.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (1157, 76), (760, 1327)]"
27,14th_century;Renaissance;Science;Physics;Isaac_Newton;Color;Rainbow,"[('14th_century', 'Renaissance'), ('Renaissance', 'Science'), ('Science', 'Physics'), ('Physics', 'Isaac_Newton'), ('Isaac_Newton', 'Color'), ('Color', 'Rainbow')]","[1117, 1439, 1467, 590, 1149, 162]","[539, 217, 1153, 688, 157, 424]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(1117, 539), (1439, 217), (1467, 1153), (590, 688), (1149, 157), (162, 424)]"
28,14th_century;Time;Isaac_Newton;Rainbow,"[('14th_century', 'Time'), ('Time', 'Isaac_Newton'), ('Isaac_Newton', 'Rainbow')]","[247, 1157, 760]","[94, 76, 1327]","[1.0, 1.0, 0.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (1157, 76), (760, 1327)]"
29,14th_century;Time;Light;Rainbow,"[('14th_century', 'Time'), ('Time', 'Light'), ('Light', 'Rainbow')]","[247, 1067, 754]","[94, 2924, 773]","[1.0, 0.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (1067, 2924), (754, 773)]"
30,14th_century;Time;Light;Color;Rainbow,"[('14th_century', 'Time'), ('Time', 'Light'), ('Light', 'Color'), ('Color', 'Rainbow')]","[247, 1067, 359, 162]","[94, 2924, 139, 424]","[1.0, 0.0, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (1067, 2924), (359, 139), (162, 424)]"
31,14th_century;Time;Special_relativity;Speed_of_light;Rainbow,"[('14th_century', 'Time'), ('Time', 'Special_relativity'), ('Special_relativity', 'Speed_of_light'), ('Speed_of_light', 'Rainbow')]","[247, 613, 1423, 1499]","[94, 292, 94, 2285]","[1.0, 1.0, 1.0, 0.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (613, 292), (1423, 94), (1499, 2285)]"
32,14th_century;Time;Egypt;Ancient_Egypt;Glass;Chromatic_aberration;Light;Rainbow,"[('14th_century', 'Time'), ('Time', 'Egypt'), ('Egypt', 'Ancient_Egypt'), ('Ancient_Egypt', 'Glass'), ('Glass', 'Chromatic_aberration'), ('Chromatic_aberration', 'Light'), ('Light', 'Rainbow')]","[247, 38, 148, 95, 1387, 661, 754]","[94, 682, 230, 3648, 3860, 75, 773]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (38, 682), (148, 230), (95, 3648), (1387, 3860), (661, 75), (754, 773)]"
33,14th_century;Time;Isaac_Newton;Rainbow,"[('14th_century', 'Time'), ('Time', 'Isaac_Newton'), ('Isaac_Newton', 'Rainbow')]","[247, 1157, 760]","[94, 76, 1327]","[1.0, 1.0, 0.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (1157, 76), (760, 1327)]"
94,Acceleration;Time;Life;Virus;Latin;United_States;Education_in_the_United_States;Computer;Internet;Microsoft;Microsoft_Windows;Macintosh;Internet;World_Wide_Web;Mozilla_Firefox,"[('Acceleration', 'Time'), ('Time', 'Life'), ('Life', 'Virus'), ('Virus', 'Latin'), ('Latin', 'United_States'), ('United_States', 'Education_in_the_United_States'), ('Education_in_the_United_States', 'Computer'), ('Computer', 'Internet'), ('Internet', 'Microsoft'), ('Microsoft', 'Microsoft_Windows'), ('Microsoft_Windows', 'Macintosh'), ('Macintosh', 'Internet'), ('Internet', 'World_Wide_Web'), ('World_Wide_Web', 'Mozilla_Firefox')]","[1048, 716, 283, 138, 54, 303, 38, 681, 783, 1484, 926, 821, 990, 1101]","[80, 393, 138, 4410, 1786, 6407, 2264, 1274, 1732, 496, 113, 4647, 94, 2697]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(1048, 80), (716, 393), (283, 138), (138, 4410), (54, 1786), (303, 6407), (38, 2264), (681, 1274), (783, 1732), (1484, 496), (926, 113), (821, 4647), (990, 94), (1101, 2697)]"
95,Acceleration;Albert_Einstein;Electrical_engineering;Computer;Internet;<;World_Wide_Web;Mozilla_Firefox,"[('Acceleration', 'Albert_Einstein'), ('Albert_Einstein', 'Electrical_engineering'), ('Electrical_engineering', 'Computer'), ('Computer', 'Internet'), ('Internet', '<'), ('<', 'World_Wide_Web'), ('World_Wide_Web', 'Mozilla_Firefox')]","[265, 224, 662, 681, None, None, 1101]","[1000, 823, 157, 1274, None, None, 2697]","[0.0, 1.0, 1.0, 0.0, None, None, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(265, 1000), (224, 823), (662, 157), (681, 1274), (None, None), (None, None), (1101, 2697)]"
96,Acceleration;Physics;Computer;Internet;Linux;<;OpenOffice.org;Mozilla_Firefox,"[('Acceleration', 'Physics'), ('Physics', 'Computer'), ('Computer', 'Internet'), ('Internet', 'Linux'), ('Linux', '<'), ('<', 'OpenOffice.org'), ('OpenOffice.org', 'Mozilla_Firefox')]","[33, 1258, 681, 718, None, None, 377]","[80, 4059, 1274, 2050, None, None, 2191]","[1.0, 0.0, 0.0, 0.0, None, None, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(33, 80), (1258, 4059), (681, 1274), (718, 2050), (None, None), (None, None), (377, 2191)]"
97,Acceleration;Earth;Government;Communication;Internet;World_Wide_Web;Mozilla_Firefox,"[('Acceleration', 'Earth'), ('Earth', 'Government'), ('Government', 'Communication'), ('Communication', 'Internet'), ('Internet', 'World_Wide_Web'), ('World_Wide_Web', 'Mozilla_Firefox')]","[1008, 820, 1366, 512, 990, 1101]","[839, 3469, 867, 1216, 94, 2697]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(1008, 839), (820, 3469), (1366, 867), (512, 1216), (990, 94), (1101, 2697)]"
98,Acceleration;Physics;Science;Computer_science;Internet;World_Wide_Web;Mozilla_Firefox,"[('Acceleration', 'Physics'), ('Physics', 'Science'), ('Science', 'Computer_science'), ('Computer_science', 'Internet'), ('Internet', 'World_Wide_Web'), ('World_Wide_Web', 'Mozilla_Firefox')]","[33, 595, 969, 232, 990, 1101]","[80, 117, 2771, 487, 94, 2697]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(33, 80), (595, 117), (969, 2771), (232, 487), (990, 94), (1101, 2697)]"
99,Acceleration;Light;California;Computer;World_Wide_Web;Mozilla_Firefox,"[('Acceleration', 'Light'), ('Light', 'California'), ('California', 'Computer'), ('Computer', 'World_Wide_Web'), ('World_Wide_Web', 'Mozilla_Firefox')]","[71, 440, 1198, 451, 1101]","[1019, 520, 2654, 4764, 2697]","[0.0, 1.0, 0.0, 0.0, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(71, 1019), (440, 520), (1198, 2654), (451, 4764), (1101, 2697)]"
100,Acceleration;Time;Internet;Linux;<;OpenOffice.org;Mozilla_Firefox,"[('Acceleration', 'Time'), ('Time', 'Internet'), ('Internet', 'Linux'), ('Linux', '<'), ('<', 'OpenOffice.org'), ('OpenOffice.org', 'Mozilla_Firefox')]","[1048, 319, 718, None, None, 377]","[80, 3439, 2050, None, None, 2191]","[1.0, 0.0, 0.0, None, None, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(1048, 80), (319, 3439), (718, 2050), (None, None), (None, None), (377, 2191)]"
101,Acceleration;Physics;Electrical_engineering;Computer;Internet;Microsoft;World_Wide_Web;History_of_the_Internet;Internet_Explorer;Mozilla_Firefox,"[('Acceleration', 'Physics'), ('Physics', 'Electrical_engineering'), ('Electrical_engineering', 'Computer'), ('Computer', 'Internet'), ('Internet', 'Microsoft'), ('Microsoft', 'World_Wide_Web'), ('World_Wide_Web', 'History_of_the_Internet'), ('History_of_the_Internet', 'Internet_Explorer'), ('Internet_Explorer', 'Mozilla_Firefox')]","[33, 444, 662, 681, 783, 19, 101, 1460, 19]","[80, 484, 157, 1274, 1732, 233, 966, 3561, 2950]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(33, 80), (444, 484), (662, 157), (681, 1274), (783, 1732), (19, 233), (101, 966), (1460, 3561), (19, 2950)]"
102,Acceleration;Physics;Computer;Internet;World_Wide_Web;Mozilla_Firefox,"[('Acceleration', 'Physics'), ('Physics', 'Computer'), ('Computer', 'Internet'), ('Internet', 'World_Wide_Web'), ('World_Wide_Web', 'Mozilla_Firefox')]","[33, 1258, 681, 990, 1101]","[80, 4059, 1274, 94, 2697]","[1.0, 0.0, 0.0, 1.0, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(33, 80), (1258, 4059), (681, 1274), (990, 94), (1101, 2697)]"
103,Acceleration;Time;Technology;<;Internet;World_Wide_Web;Mozilla_Firefox,"[('Acceleration', 'Time'), ('Time', 'Technology'), ('Technology', '<'), ('<', 'Internet'), ('Internet', 'World_Wide_Web'), ('World_Wide_Web', 'Mozilla_Firefox')]","[1048, 121, None, None, 990, 1101]","[80, 3439, None, None, 94, 2697]","[1.0, 0.0, None, None, 1.0, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(1048, 80), (121, 3439), (None, None), (None, None), (990, 94), (1101, 2697)]"
104,Acceleration;Light;Color;<;<;Light;Telescope;<;California;<;<;Special_relativity;<;Physics;Technology;Computer;Internet;World_Wide_Web;Mozilla_Firefox,"[('Acceleration', 'Light'), ('Light', 'Color'), ('Color', '<'), ('<', '<'), ('<', 'Light'), ('Light', 'Telescope'), ('Telescope', '<'), ('<', 'California'), ('California', '<'), ('<', '<'), ('<', 'Special_relativity'), ('Special_relativity', '<'), ('<', 'Physics'), ('Physics', 'Technology'), ('Technology', 'Computer'), ('Computer', 'Internet'), ('Internet', 'World_Wide_Web'), ('World_Wide_Web', 'Mozilla_Firefox')]","[71, 359, None, None, None, 1285, None, None, None, None, None, None, None, 299, 1094, 681, 990, 1101]","[1019, 139, None, None, None, 393, None, None, None, None, None, None, None, 484, 901, 1274, 94, 2697]","[0.0, 1.0, None, None, None, 1.0, None, None, None, None, None, None, None, 1.0, 0.0, 0.0, 1.0, 0.0]",Acceleration,Mozilla_Firefox,Acceleration->Mozilla_Firefox,"[(71, 1019), (359, 139), (None, None), (None, None), (None, None), (1285, 393), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (299, 484), (1094, 901), (681, 1274), (990, 94), (1101, 2697)]"
139,Achilles_tendon;Achilles;Trojan_War;Alexander_the_Great;India;Mammal;Elephant;Ivory,"[('Achilles_tendon', 'Achilles'), ('Achilles', 'Trojan_War'), ('Trojan_War', 'Alexander_the_Great'), ('Alexander_the_Great', 'India'), ('India', 'Mammal'), ('Mammal', 'Elephant'), ('Elephant', 'Ivory')]","[376, 610, 1042, 1156, 564, 481, 741]","[252, 75, 4962, 1776, 2251, 2830, 202]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",Achilles_tendon,Ivory,Achilles_tendon->Ivory,"[(376, 252), (610, 75), (1042, 4962), (1156, 1776), (564, 2251), (481, 2830), (741, 202)]"
140,Achilles_tendon;Achilles;Greek_mythology;Roman_Empire;Maghreb;Mauritania;Egypt;Ancient_Egypt;Roman_Empire;Western_Roman_Empire;Europe;United_Kingdom;British_Empire;India;Mammal;Elephant;Ivory,"[('Achilles_tendon', 'Achilles'), ('Achilles', 'Greek_mythology'), ('Greek_mythology', 'Roman_Empire'), ('Roman_Empire', 'Maghreb'), ('Maghreb', 'Mauritania'), ('Mauritania', 'Egypt'), ('Egypt', 'Ancient_Egypt'), ('Ancient_Egypt', 'Roman_Empire'), ('Roman_Empire', 'Western_Roman_Empire'), ('Western_Roman_Empire', 'Europe'), ('Europe', 'United_Kingdom'), ('United_Kingdom', 'British_Empire'), ('British_Empire', 'India'), ('India', 'Mammal'), ('Mammal', 'Elephant'), ('Elephant', 'Ivory')]","[376, 33, 650, 374, 718, 896, 148, 19, 1614, 901, 1326, 131, 433, 564, 481, 741]","[252, 75, 3850, 176, 94, 2035, 230, 138, 181, 3145, 689, 285, 1073, 2251, 2830, 202]","[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",Achilles_tendon,Ivory,Achilles_tendon->Ivory,"[(376, 252), (33, 75), (650, 3850), (374, 176), (718, 94), (896, 2035), (148, 230), (19, 138), (1614, 181), (901, 3145), (1326, 689), (131, 285), (433, 1073), (564, 2251), (481, 2830), (741, 202)]"
141,Achilles_tendon;Achilles;Ethiopia;Africa;Elephant;Ivory,"[('Achilles_tendon', 'Achilles'), ('Achilles', 'Ethiopia'), ('Ethiopia', 'Africa'), ('Africa', 'Elephant'), ('Elephant', 'Ivory')]","[376, 924, 1011, 96, 741]","[252, 1483, 128, 698, 202]","[1.0, 0.0, 1.0, 1.0, 1.0]",Achilles_tendon,Ivory,Achilles_tendon->Ivory,"[(376, 252), (924, 1483), (1011, 128), (96, 698), (741, 202)]"
142,Achilles_tendon;Latin;United_States;World_Health_Organization;Tobacco;Beetle;Mummy;Medicine;Health;Nutrition;Calcium;Vitamin_D;Milk;Mammal;Elephant_shrew;Elephant;Ivory,"[('Achilles_tendon', 'Latin'), ('Latin', 'United_States'), ('United_States', 'World_Health_Organization'), ('World_Health_Organization', 'Tobacco'), ('Tobacco', 'Beetle'), ('Beetle', 'Mummy'), ('Mummy', 'Medicine'), ('Medicine', 'Health'), ('Health', 'Nutrition'), ('Nutrition', 'Calcium'), ('Calcium', 'Vitamin_D'), ('Vitamin_D', 'Milk'), ('Milk', 'Mammal'), ('Mammal', 'Elephant_shrew'), ('Elephant_shrew', 'Elephant'), ('Elephant', 'Ivory')]","[1387, 54, 44, 968, 484, 176, 1390, 660, 1089, 583, 829, 1286, 405, 412, 222, 741]","[845, 1786, 6653, 325, 1228, 2301, 1622, 75, 246, 281, 963, 1367, 75, 2665, 94, 202]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]",Achilles_tendon,Ivory,Achilles_tendon->Ivory,"[(1387, 845), (54, 1786), (44, 6653), (968, 325), (484, 1228), (176, 2301), (1390, 1622), (660, 75), (1089, 246), (583, 281), (829, 963), (1286, 1367), (405, 75), (412, 2665), (222, 94), (741, 202)]"
