,path,link_pairs,x_positions,y_positions,is_on_top,origin,goal,game_pair,coordinates
7,14th_century;Time;Isaac_Newton;Light;Color;Rainbow,"[('14th_century', 'Time'), ('Time', 'Isaac_Newton'), ('Isaac_Newton', 'Light'), ('Light', 'Color'), ('Color', 'Rainbow')]","[247, 1157, 1316, 359, 162]","[94, 76, 157, 139, 424]","[1.0, 1.0, 1.0, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (1157, 76), (1316, 157), (359, 139), (162, 424)]"
8,14th_century;Time;Light;Rainbow,"[('14th_century', 'Time'), ('Time', 'Light'), ('Light', 'Rainbow')]","[247, 1067, 754]","[94, 2924, 773]","[1.0, 0.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (1067, 2924), (754, 773)]"
9,14th_century;15th_century;Plato;Nature;Ultraviolet;Color;Rainbow,"[('14th_century', '15th_century'), ('15th_century', 'Plato'), ('Plato', 'Nature'), ('Nature', 'Ultraviolet'), ('Ultraviolet', 'Color'), ('Color', 'Rainbow')]","[1500, 259, 1366, 378, 456, 162]","[96, 1131, 776, 889, 154, 424]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(1500, 96), (259, 1131), (1366, 776), (378, 889), (456, 154), (162, 424)]"
10,14th_century;Time;Science;Nature;Weather;Sunlight;<;Sun;Earth%27s_atmosphere;Ultraviolet;Color;Light;Rainbow,"[('14th_century', 'Time'), ('Time', 'Science'), ('Science', 'Nature'), ('Nature', 'Weather'), ('Weather', 'Sunlight'), ('Sunlight', '<'), ('<', 'Sun'), ('Sun', 'Earth%27s_atmosphere'), ('Earth%27s_atmosphere', 'Ultraviolet'), ('Ultraviolet', 'Color'), ('Color', 'Light'), ('Light', 'Rainbow')]","[247, 237, 323, 339, 356, None, None, 958, 589, 456, 271, 754]","[94, 374, 703, 221, 281, None, None, 1797, 94, 154, 138, 773]","[1.0, 1.0, 1.0, 1.0, 1.0, None, None, 0.0, 1.0, 1.0, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (237, 374), (323, 703), (339, 221), (356, 281), (None, None), (None, None), (958, 1797), (589, 94), (456, 154), (271, 138), (754, 773)]"
11,14th_century;Christianity;Bible;God;Nature;Earth%27s_atmosphere;Ultraviolet;Optical_fiber;Light;Rainbow,"[('14th_century', 'Christianity'), ('Christianity', 'Bible'), ('Bible', 'God'), ('God', 'Nature'), ('Nature', 'Earth%27s_atmosphere'), ('Earth%27s_atmosphere', 'Ultraviolet'), ('Ultraviolet', 'Optical_fiber'), ('Optical_fiber', 'Light'), ('Light', 'Rainbow')]","[636, 1223, 590, 1413, 575, 589, 212, 356, 754]","[378, 483, 3731, 700, 3236, 94, 2780, 75, 773]","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(636, 378), (1223, 483), (590, 3731), (1413, 700), (575, 3236), (589, 94), (212, 2780), (356, 75), (754, 773)]"
12,14th_century;Time;Astronomy;Light;Rainbow,"[('14th_century', 'Time'), ('Time', 'Astronomy'), ('Astronomy', 'Light'), ('Light', 'Rainbow')]","[247, 985, 1225, 754]","[94, 374, 1156, 773]","[1.0, 1.0, 0.0, 1.0]",14th_century,Rainbow,14th_century->Rainbow,"[(247, 94), (985, 374), (1225, 1156), (754, 773)]"
13,14th_century;Renaissance;Empiricism;Nature;Weather;Sunlight;<;Rain;<;Sunlight;Earth%27s_atmosphere;<;<;Sun;Isaac_Newton;Rainbow,"[('14th_century', 'Renaissance'), ('Renaissance', 'Empiricism'), ('Empiricism', 'Nature'), ('Nature', 'Weather'), ('Weather', 'Sunlight'), ('Sunlight', '<'), ('<', 'Rain'), ('Rain', '<'), ('<', 'Sunlight'), ('Sunlight', 'Earth%27s_atmosphere'), ('Earth%27s_atmosphere', '<'), ('<', '<'), ('<', 'Sun'), ('Sun', 'Isaac_Newton'), ('Isaac_Newton', 'Rainbow')]","[1117, 772, 673, 339, 356, None, None, None, None, 826, None, None, None, 201, 760]","[539, 1662, 2515, 221, 281, None, None, None, None, 75, None, None, None, 3847, 1327]","[1.0, 0.0, 0.0, 1.0, 1.0, None, None, None, None, 1.0, None, None, None, 0.0, 0.0]",14th_century,Rainbow,14th_century->Rainbow,"[(1117, 539), (772, 1662), (673, 2515), (339, 221), (356, 281), (None, None), (None, None), (None, None), (None, None), (826, 75), (None, None), (None, None), (None, None), (201, 3847), (760, 1327)]"
14,14th_century;Renaissance;Leonardo_da_Vinci;Water;Rain;Cloud;<;<;Rainbow,"[('14th_century', 'Renaissance'), ('Renaissance', 'Leonardo_da_Vinci'), ('Leonardo_da_Vinci', 'Water'), ('Water', 'Rain'), ('Rain', 'Cloud'), ('Cloud', '<'), ('<', '<'), ('<', 'Rainbow')]","[1117, 1463, 19, 972, 912, None, None, None]","[539, 859, 176, 99, 75, None, None, None]","[1.0, 1.0, 1.0, 1.0, 1.0, None, None, None]",14th_century,Rainbow,14th_century->Rainbow,"[(1117, 539), (1463, 859), (19, 176), (972, 99), (912, 75), (None, None), (None, None), (None, None)]"
15,14th_century;Renaissance;Leonardo_da_Vinci;Water;Rainbow,"[('14th_century', 'Renaissance'), ('Renaissance', 'Leonardo_da_Vinci'), ('Leonardo_da_Vinci', 'Water'), ('Water', 'Rainbow')]","[1117, 1463, 19, 281]","[539, 859, 176, 1432]","[1.0, 1.0, 1.0, 0.0]",14th_century,Rainbow,14th_century->Rainbow,"[(1117, 539), (1463, 859), (19, 176), (281, 1432)]"
16,14th_century;Europe;Republic_of_Ireland;<;<;Europe;<;Europe;Republic_of_Ireland;<;<;Time;Physics;Speed_of_light;Rainbow,"[('14th_century', 'Europe'), ('Europe', 'Republic_of_Ireland'), ('Republic_of_Ireland', '<'), ('<', '<'), ('<', 'Europe'), ('Europe', '<'), ('<', 'Europe'), ('Europe', 'Republic_of_Ireland'), ('Republic_of_Ireland', '<'), ('<', '<'), ('<', 'Time'), ('Time', 'Physics'), ('Physics', 'Speed_of_light'), ('Speed_of_light', 'Rainbow')]","[363, 1286, None, None, None, None, None, 1286, None, None, None, 66, 810, 1499]","[215, 689, None, None, None, None, None, 689, None, None, None, 2458, 669, 2285]","[1.0, 1.0, None, None, None, None, None, 1.0, None, None, None, 0.0, 1.0, 0.0]",14th_century,Rainbow,14th_century->Rainbow,"[(363, 215), (1286, 689), (None, None), (None, None), (None, None), (None, None), (None, None), (1286, 689), (None, None), (None, None), (None, None), (66, 2458), (810, 669), (1499, 2285)]"
