,origin,goal,total_pair_rounds
0,Asteroid,Viking,1043
1,Brain,Telephone,1040
2,Theatre,Zebra,905
3,Pyramid,Bean,642
4,Batman,Wood,148
5,Bird,Great_white_shark,138
6,Batman,The_Holocaust,119
7,Bird,Adolf_Hitler,107
8,Beer,Sun,99
9,Batman,Banana,69
